Name,ID,CurseForge,Authors
Macaw's Doors,378646,https://www.curseforge.com/minecraft/mc-mods/macaws-doors,sketch_macaw
Macaw's Fences and Walls,453925,https://www.curseforge.com/minecraft/mc-mods/macaws-fences-and-walls,sketch_macaw
Macaw's Lights and Lamps,502372,https://www.curseforge.com/minecraft/mc-mods/macaws-lights-and-lamps,sketch_macaw
Macaw's Trapdoors,400933,https://www.curseforge.com/minecraft/mc-mods/macaws-trapdoors,sketch_macaw
Magnum Torch [Fabric],596517,https://www.curseforge.com/minecraft/mc-mods/magnum-torch-fabric,Fuzs_
Map Tooltip,384852,https://www.curseforge.com/minecraft/mc-mods/map-tooltip,VendoAU
Melon Wireless Redstone,520255,https://www.curseforge.com/minecraft/mc-mods/melon-wireless-redstone,MrMelon54
Mod Menu,308702,https://www.curseforge.com/minecraft/mc-mods/modmenu,ProspectorDev
Modern Dynamics,552758,https://www.curseforge.com/minecraft/mc-mods/modern-dynamics,thetechnici4n,Gimpanse
Modern Industrialization,405388,https://www.curseforge.com/minecraft/mc-mods/modern-industrialization,thetechnici4n,azercoco2
More Axolotls,548608,https://www.curseforge.com/minecraft/mc-mods/more-axolotls,KxmischesDomi,new_sr_vraxx
Nature's Compass,252848,https://www.curseforge.com/minecraft/mc-mods/natures-compass,Chaosyr
NetherPortalFix (Fabric Edition),547696,https://www.curseforge.com/minecraft/mc-mods/netherportalfix-fabric,BlayTheNinth
New Telekinesis Enchantment,622036,https://www.curseforge.com/minecraft/mc-mods/telekinesis-enchantment-fabric,MR_LOLF_
No Indium?,614781,https://www.curseforge.com/minecraft/mc-mods/no-indium,Luligabi12
Patchouli (Fabric/Quilt),393236,https://www.curseforge.com/minecraft/mc-mods/patchouli-fabric,williewillus,Hubry,Vazkii
Phosphor (Fabric),372124,https://www.curseforge.com/minecraft/mc-mods/phosphor,jellysquid3_
Pick Up Notifier [Fabric],547474,https://www.curseforge.com/minecraft/mc-mods/pick-up-notifier-fabric,Fuzs_
Polymorph (Fabric),397434,https://www.curseforge.com/minecraft/mc-mods/polymorph-fabric,TheIllusiveC4
Puzzles Lib [Fabric],547429,https://www.curseforge.com/minecraft/mc-mods/puzzles-lib-fabric,Fuzs_
Quick Shulker,362669,https://www.curseforge.com/minecraft/mc-mods/quick-shulker,Kyrptonaught
Reborn Core,237903,https://www.curseforge.com/minecraft/mc-mods/reborncore,modmuss50,drcrazy777
Reese's Sodium Options,511319,https://www.curseforge.com/minecraft/mc-mods/reeses-sodium-options,FlashyReese
Rhino,416294,https://www.curseforge.com/minecraft/mc-mods/rhino,LatvianModder
Roughly Enough Items Fabric/Forge (REI),310111,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-items,shedaniel
Roughly Enough Professions (REP),597988,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-professions-rep,Mrbysco,ShyNieke
Roughly Enough Resources,325625,https://www.curseforge.com/minecraft/mc-mods/roughly-enough-resources,theorbagain,shedaniel
ShetiPhianCore [Fabric],536603,https://www.curseforge.com/minecraft/mc-mods/shetiphiancore-fabric,ShetiPhian
ShulkerBoxTooltip,315811,https://www.curseforge.com/minecraft/mc-mods/shulkerboxtooltip,MisterPeModder
Simple Voice Chat,416089,https://www.curseforge.com/minecraft/mc-mods/simple-voice-chat,henkelmax
Smooth Boot (Fabric),415758,https://www.curseforge.com/minecraft/mc-mods/smooth-boot,UltimateBoomer
Sodium,394468,https://www.curseforge.com/minecraft/mc-mods/sodium,jellysquid3_
Sodium Extra,447673,https://www.curseforge.com/minecraft/mc-mods/sodium-extra,FlashyReese
Sound Physics Remastered,535489,https://www.curseforge.com/minecraft/mc-mods/sound-physics-remastered,henkelmax
Space Dimensions (Fabric),429841,https://www.curseforge.com/minecraft/mc-mods/moon-and-space-dimensions-fabric,captaintenneal81
St'ructure Tools,536984,https://www.curseforge.com/minecraft/mc-mods/structure-tools,ProjectET,ramidzkh
